"SpeciesAuthor","MatrixPopulation","Lat","Lon"
"Alaria_nana","Tatoosh Island",48.4,-124.733333333333
"Ascophyllum_nodosum","Portugal",41.6840833333333,-8.83491666666667
"Ascophyllum_nodosum_3","Tjärnö",58.8666666666667,11
"Ascophyllum_nodosum_3","Göteborg",57.6333333333333,11.75
"Ecklonia_radiata","Wainui Bay",-43.817,172.750277777778
"Ecklonia_radiata","Ohinepaka Bay",-43.85,172.751388888889
"Fucus_distichus","False Creek",49.2833333333333,-123.116666666667
"Gelidium_sesquipedale","Cape Espichel",38.4,-9.36666666666667
"Gracilaria_gracilis","GNH",50.8833333333333,1.58333333333333
"Gracilaria_gracilis","GNL",50.8833333333333,1.58333333333333
"Gracilaria_gracilis","AuH",50.8166666666667,1.58333333333333
"Gracilaria_gracilis","AuL",50.8166666666667,1.58333333333333
"Iridaea_splendens","Stanley Park",49.2833333333333,-123.133333333333
"Laminaria_digitata","Nova Scotia",44.6833333333333,-63.75
"Macrocystis_pyrifera","South Island",-45.8333333333333,170.65
"Pterygophora_californica","Diana Island Site 1",48.8333333333333,-125.2
"Pterygophora_californica","Diana Island Site 2",48.8333333333333,-125.2
"Pterygophora_californica","Wizard Rock Site 3",48.85,-125.15
"Aeschynomene_virginica","1; 2; 3",37.5333333333333,-76.9666666666667
"Anastatica_hierochuntica","Wadi Hagoul",29.9168888888889,32.1848611111111
"Andropogon_brevifolius","Fire exlusion",9.41666666666667,-68.25
"Andropogon_brevifolius","Control",9.41666666666667,-68.25
"Androsace_elongata","Type 1: ≥ 40% bar soil; Type 2: 25.1-39.9% bar soil; Type 3: 10.1-25% bar soil; Type 4: 5.1-10% bar soil; Type 5: 0-5% bar soil",50.5166666666667,13.9833333333333
"Androsace_elongata","Type 1: ≥ 40% bar soil",50.5166666666667,13.9833333333333
"Androsace_elongata","Type 2: 25.1-39.9% bar soil",50.5166666666667,13.9833333333333
"Androsace_elongata","Type 3: 10.1-25% bar soil",50.5166666666667,13.9833333333333
"Androsace_elongata","Type 4: 5.1-10% bar soil",50.5166666666667,13.9833333333333
"Androsace_elongata","Type 5: 0-5% bar soil",50.5166666666667,13.9833333333333
"Arenaria_serpyllifolia","Type 1: ≥ 40% bar soil; Type 2: 25.1-39.9% bar soil; Type 3: 10.1-25% bar soil; Type 4: 5.1-10% bar soil; Type 5: 0-5% bar soil",50.5166666666667,13.9833333333333
"Arenaria_serpyllifolia","Type 1: ≥ 40% bar soil",50.5166666666667,13.9833333333333
"Arenaria_serpyllifolia","Type 2: 25.1-39.9% bar soil",50.5166666666667,13.9833333333333
"Arenaria_serpyllifolia","Type 3: 10.1-25% bar soil",50.5166666666667,13.9833333333333
"Arenaria_serpyllifolia","Type 4: 5.1-10% bar soil",50.5166666666667,13.9833333333333
"Arenaria_serpyllifolia","Type 5: 0-5% bar soil",50.5166666666667,13.9833333333333
"Bromus_tectorum","Artemisia; Purshia; Intershrub",37.6012222222222,-118.833722222222
"Bromus_tectorum","Artemisia",37.6012222222222,-118.833722222222
"Bromus_tectorum","Purshia",37.6012222222222,-118.833722222222
"Bromus_tectorum","Intershrub",37.6012222222222,-118.833722222222
"Cerastium_fontanum","Tyson Research Center",38.5,-90.5
"Cerastium_pumilum","Tyson Research Center",38.5,-90.5
"Clarkia_xantiana_subsp._xantiana","Live Oak (LO)",35.4677691666667,-118.718194444444
"Clarkia_xantiana_subsp._xantiana","Lucas Creek W (LCW)",35.4680277777778,-118.700805555556
"Clarkia_xantiana_subsp._xantiana","Upper Richbar S (UR)",35.4667222222222,-118.716805555556
"Clarkia_xantiana_subsp._xantiana","Lucas Creek E (LCE)",35.4681944444444,-118.700611111111
"Clarkia_xantiana_subsp._xantiana","Cow Flat (CF)",35.5177777777778,-118.634305555556
"Clarkia_xantiana_subsp._xantiana","Democrat (DM)",35.5179166666667,-118.617611111111
"Clarkia_xantiana_subsp._xantiana","Delonegha W (DL)",35.5342222222222,-118.617
"Clarkia_xantiana_subsp._xantiana","Mill Creek (MC)",35.5333888888889,-118.616694444444
"Clarkia_xantiana_subsp._xantiana","Kern Road W (OKW)",35.5509722222222,-118.567777777778
"Clarkia_xantiana_subsp._xantiana","Kern Road E (OKE)",35.5513611111111,-118.5515
"Clarkia_xantiana_subsp._xantiana","Freeway Ridge (FR)",35.5680833333333,-118.550083333333
"Clarkia_xantiana_subsp._xantiana","Black Gulch (BG)",35.5841111111111,-118.517694444444
"Clarkia_xantiana_subsp._xantiana","Borel Road (BR)",35.5838333333333,-118.516694444444
"Clarkia_xantiana_subsp._xantiana","Keyesville (KY)",35.6172222222222,-118.501305555556
"Clarkia_xantiana_subsp._xantiana","Old State Road (OSR)",35.6848055555555,-118.468305555556
"Clarkia_xantiana_subsp._xantiana","Camp 3 (C3)",35.8002222222222,-118.434805555556
"Clarkia_xantiana_subsp._xantiana","Erskine Creek (EC)",35.584,-118.434388888889
"Clarkia_xantiana_subsp._xantiana","22 (22)",35.8338055555556,-118.418222222222
"Clarkia_xantiana_subsp._xantiana","Golf Course N (GC)",35.7176111111111,-118.418
"Clarkia_xantiana_subsp._xantiana","Squirrel  Mountain (SM)",35.7178333333333,-118.416805555556
"Gilia_tenuiflora_subsp._hoffmannii","Santa Rosa Island",33.95,-120.083333333333
"Hordeum_spontaneum","Mediterranean",31.6,34.8833333333333
"Hordeum_spontaneum","Desert",31,35
"Impatiens_capensis","L",41.6343333333333,-80.4178333333333
"Impatiens_capensis","W",41.6343333333333,-80.4178333333333
"Impatiens_capensis","L",41.6676666666667,-80.4176666666667
"Impatiens_capensis","W",41.6676666666667,-80.4176666666667
"Lactuca_serriola","Control",42.8502777777778,112.400194444444
"Lactuca_serriola","Shrub removal",42.8502777777778,112.400194444444
"Lactuca_serriola","Shelter",42.8502777777778,112.400194444444
"Lepidium_campestre","Tyson Research Center",38.5,-90.5
"Malacothrix_indecora","Santa Rosa Island",33.95,-120.083333333333
"Myosotis_ramosissima","Type 1: ≥ 40% bar soil; Type 2: 25.1-39.9% bar soil; Type 3: 10.1-25% bar soil; Type 4: 5.1-10% bar soil; Type 5: 0-5% bar soil",50.5166666666667,13.9833333333333
"Myosotis_ramosissima","Type 1: ≥ 40% bar soil",50.5166666666667,13.9833333333333
"Myosotis_ramosissima","Type 2: 25.1-39.9% bar soil",50.5166666666667,13.9833333333333
"Myosotis_ramosissima","Type 3: 10.1-25% bar soil",50.5166666666667,13.9833333333333
"Myosotis_ramosissima","Type 4: 5.1-10% bar soil",50.5166666666667,13.9833333333333
"Myosotis_ramosissima","Type 5: 0-5% bar soil",50.5166666666667,13.9833333333333
"Phacelia_insularis_var._insularis","Santa Rosa Island",33.95,-120.083333333333
"Phalaris_brachystachys","Trinidades, Cordoba",37.4,-5.8
"Polygonum_perfoliatum","RCN",37.95,-75.45
"Polygonum_perfoliatum","RCS",37.95,-75.45
"Polygonum_perfoliatum","DEA",37.95,-75.45
"Polygonum_perfoliatum","DEB",37.95,-75.45
"Polygonum_perfoliatum","TYA",37.95,-75.45
"Polygonum_perfoliatum","TYB",37.95,-75.45
"Polygonum_perfoliatum","LH",36.0333333333333,140.333333333333
"Polygonum_perfoliatum","LL",36.0333333333333,140.333333333333
"Polygonum_perfoliatum","RF",36.0333333333333,140.333333333333
"Polygonum_perfoliatum","RN",36.0333333333333,140.333333333333
"Rhinanthus_minor",NA,51.6166666666667,-1.16666666666667
"Saxifraga_tridactylites","Type 1: ≥ 40% bar soil; Type 2: 25.1-39.9% bar soil; Type 3: 10.1-25% bar soil; Type 4: 5.1-10% bar soil; Type 5: 0-5% bar soil",50.5166666666667,13.9833333333333
"Saxifraga_tridactylites","Type 1: ≥ 40% bar soil",50.5166666666667,13.9833333333333
