BALDNAME,BALD_,X,Y,bald_num,Area,Acres,Hectares,ZONING,BaldName_U,Bald_U
Scrubby Bald,16,463822.8909,3006874.26,117,3365.285077,0.83158,0.336529,2,Scrubby Bald,16
West Bayhead Bald,45,463900.5292,3006709.236,115,411.503927,0.101685,0.04115,3,West Bayhead Bald South,45S
Big Eryngium Bald,54,464602.3674,3001923.035,79,35937.68745,8.880396,3.593769,3,Big Eryngium Bald,54
Small-But-Beautiful Bald,57,464261.3385,3001717.685,71,946.468762,0.233878,0.094647,2,Small-But-Beautiful Bald,57
Endemics Bald,59,463804.8641,3001542.342,67,3671.507775,0.907249,0.367151,3,Endemics Bald,59
Hypericum Bald,61,464642.8836,3001530.396,66,2488.281228,0.614868,0.248828,2,Hypericum Bald,61
South Euphorbia Bald,63,464333.9195,3001293.544,59,1671.144547,0.412949,0.167114,2,South Euphorbia Bald,63
Tortoise Shell Bald,70,464665.3944,3000952.126,50,3534.891143,0.873491,0.353489,3,Tortoise Shell Bald,70
Crossroads Bald,72,464544.0014,3000807.309,44,11264.66459,2.783559,1.126466,2,Crossroads Bald,72
Burned Ridge Bald,85,464444.5239,3000462.212,26,19899.52316,4.917279,1.989952,3,Burned Ridge Bald,85
Lechea Hill Bald,91,464118.2452,3000141.589,11,8109.808611,2.003977,0.810981,3,Lechea Hill Bald,91
