FID,id,bald,Bald_U,bald_num,Shape,VEG,BALD_,BALDNAME,X,Y,Area,Acres,area,Hectares,ZONING
133,1,01N,1N,134,Polygon,SSr,1,North Bald,464788.2874,3008797.832,5642.132834,1.394201,0.564213,0.564213,3
132,2,01S,1S,133,Polygon,SSr,1,North Bald,464774.2795,3008699.498,13066.11724,3.228708,1.306612,1.306612,3
134,3,2,2,135,Polygon,SSr,2,Well Bald,464592.1123,3008994.702,1011.601485,0.249972,0.1012,0.10116,3
136,4,3,3,137,Polygon,SSr,3,Quasi Bald,464546.198,3009106.938,795.566396,0.196589,0.0796,0.079557,1
131,5,4,4,132,Polygon,SSr,4,Two Roads Bald,463823.7282,3008194.57,1692.636633,0.41826,0.1693,0.169264,3
129,6,05W,5W,130,Polygon,SSr,5,Hidden Bald,463862.3289,3008117.15,16.585921,0.004098,0.0818,0.001659,2
130,7,05E,5E,131,Polygon,SSr,5,Hidden Bald,463886.9459,3008131.232,801.785192,0.198125,0.080179,0.080179,2
128,8,6,6,129,Polygon,SSr,6,Lyonia Bald,464622.0584,3008051.051,3922.152343,0.969185,0.3922,0.392215,3
127,9,07N,7N,128,Polygon,SSr,7,Sand Pine Bald,465022.7535,3007969.287,1067.64842,0.263822,0.5232,0.106765,1
126,10,07S,7S,127,Polygon,SSr,7,Sand Pine Bald,465038.2907,3007915.203,4255.535149,1.051566,0.425554,0.425554,1
125,11,8,8,126,Polygon,SSr,8,Pine Hill Bald,464486.3534,3007814.565,3193.406242,0.789108,0.3193,0.319341,2
124,12,9,9,125,Polygon,SSr,9,Scrub Jay Bald,464486.8412,3007698.315,837.199304,0.206876,0.0837,0.08372,3
123,13,10,10,124,Polygon,SSr,10,No Cactus Bald,464039.7291,3007551.716,1081.031266,0.267129,0.1081,0.108103,3
120,14,11,11,121,Polygon,SSr,11,Slash Pine Bald,464065.6957,3007344.398,1058.281245,0.261507,0.1058,0.105828,3
121,15,12,12,122,Polygon,SSr,12,Short Cut Bald,464165.397,3007367.696,756.933562,0.187042,0.0757,0.075693,2
122,16,13,13,123,Polygon,SSr,13,Calamintha Bald,464162.8906,3007443.554,764.093756,0.188812,0.0764,0.076409,3
119,17,14,14,120,Polygon,SSr,14,Palafoxia Bald,464355.5973,3007262.337,1019.898522,0.252022,0.102,0.10199,2
118,18,15,15,119,Polygon,SSr,15,Culvert Bald,464738.6942,3007140.555,2769.28513,0.684305,0.2769,0.276929,3
