"SpeciesAuthor","n_year","n_pops","n_site","endmon","ecoreg"
"Adenocarpus_gibbsianus",5,1,1,"8","Desert/Med"
"Anarrhinum_fruticosum",5,1,1,"8","Desert/Med"
"Arenaria_bolosii",5,1,1,"8","Desert/Med"
"Armeria_merinoi",5,2,2,"8","Desert/Med"
"Astragalus_scaphoides",5,2,2,"8","Desert/Med"
"Astragalus_scaphoides_2",11,3,2,"8","Desert/Med"
"Astragalus_tremolsianus",5,1,1,"8","Desert/Med"
"Brassica_insularis",9,4,4,"8","Desert/Med"
"Cheirolophus_metlesicsii",5,1,1,"8","Desert/Med"
"Cypripedium_calceolus_2",5,1,1,"8","Desert/Med"
"Dorycnium_spectabile",5,2,2,"8","Desert/Med"
"Echinospartum_algibicum",5,1,1,"8","Desert/Med"
"Erodium_paularense",5,2,2,"8","Desert/Med"
"Euphorbia_fontqueriana",5,1,1,"8","Desert/Med"
"Haplopappus_radiatus",9,10,4,"8","Desert/Med"
"Helianthemum_juliae",9,1,1,"11","Desert/Med"
"Helianthemum_polygonoides",5,1,1,"8","Desert/Med"
"Helianthemum_teneriffae",5,1,1,"8","Desert/Med"
"Jurinea_fontqueri",5,1,1,"8","Desert/Med"
"Kosteletzkya_pentacarpos",8,1,1,"8","Desert/Med"
"Laserpitium_longiradium",5,1,1,"8","Desert/Med"
"Limonium_erectum",5,1,1,"8","Desert/Med"
"Limonium_malacitanum",5,1,1,"8","Desert/Med"
"Opuntia_rastrera",7,2,1,"8","Desert/Med"
"Paeonia_officinalis",5,3,1,"6","Desert/Med"
"Parolinia_glabriuscula",5,1,1,"8","Desert/Med"
"Pseudomisopates_rivas-martinezii",5,2,2,"8","Desert/Med"
"Purshia_subintegra",7,2,2,"6","Desert/Med"
"Pyrrocoma_radiata",10,4,4,"8","Desert/Med"
"Ramonda_myconi",5,2,1,"8","Desert/Med"
"Santolina_melidensis",5,1,1,"8","Desert/Med"
"Vella_pseudocytisus_paui",5,2,2,"8","Desert/Med"
"Vella_pseudocytisus_paui_2",5,2,2,"6","Desert/Med"
"Vella_pseudocytisus_pseudocytisus",5,1,1,"8","Desert/Med"
"Actaea_spicata",6,2,1,"8","Temperate"
"Agrimonia_eupatoria",5,2,1,"9","Temperate"
"Arabis_fecunda",6,1,1,"5","Temperate"
"Aster_pyrenaeus",5,1,1,"8","Temperate"
"Astragalus_tyghensis",9,5,5,"8","Temperate"
"Balsamorhiza_sagittata",5,1,1,"8","Temperate"
"Cirsium_pitcheri_3",5,1,1,"8","Temperate"
"Cirsium_pitcheri_4",10,3,3,"8","Temperate"
"Cirsium_pitcheri_6",7,1,1,"8","Temperate"
"Cirsium_pitcheri_8",14,1,1,"8","Temperate"
"Cirsium_undulatum",30,1,1,"8","Temperate"
"Cleistes_divaricata_divaricata",5,1,1,"8","Temperate"
"Corallorhiza_trifida",5,1,1,"8","Temperate"
"Cypripedium_calceolus",9,3,1,"8","Temperate"
"Cypripedium_fasciculatum",8,3,3,"8","Temperate"
"Dicerandra_frutescens",12,7,1,"8","Temperate"
"Echinacea_angustifolia",31,1,1,"8","Temperate"
"Eriogonum_longifolium_gnaphalifolium_2",8,1,1,"8","Temperate"
"Eryngium_alpinum",9,7,7,"8","Temperate"
"Eryngium_cuneifolium",10,7,7,"8","Temperate"
"Geranium_sylvaticum_2",5,1,1,"8","Temperate"
"Hedyotis_nigricans",29,1,1,"8","Temperate"
"Horkelia_congesta",6,1,1,"8","Temperate"
"Hypericum_cumulicola",5,49,13,"8","Temperate"
"Hypericum_cumulicola_2",10,6,6,"8","Temperate"
"Lesquerella_ovalifolia",28,1,1,"8","Temperate"
"Liatris_scariosa",5,3,1,"8","Temperate"
"Lomatium_bradshawii",7,1,1,"8","Temperate"
"Lomatium_cookii",5,2,1,"8","Temperate"
"Mammillaria_huitzilopochtli",5,2,2,"8","Temperate"
"Opuntia_macrorhiza_2",6,5,5,"8","Temperate"
"Orchis_purpurea",6,6,2,"8","Temperate"
"Paronychia_jamesii",33,1,1,"8","Temperate"
"Phyllanthus_emblica_3",5,1,1,"8","Temperate"
"Primula_farinosa_4",5,1,1,"8","Temperate"
"Primula_veris_3",9,2,2,"8","Temperate"
"Psoralea_tenuiflora",33,1,1,"8","Temperate"
"Ranunculus_peltatus",5,1,1,"8","Temperate"
"Ratibida_columnifera",29,1,1,"8","Temperate"
"Rumex_rupestris",5,1,1,"8","Temperate"
"Silene_acaulis",5,5,3,"8","Temperate"
"Silene_spaldingii",12,1,1,"8","Temperate"
"Solidago_mollis",30,1,1,"8","Temperate"
"Sphaeralcea_coccinea",35,1,1,"8","Temperate"
"Thelesperma_megapotamicum",29,1,1,"8","Temperate"
"Tillandsia_macdougallii",5,1,1,"2","Temperate"
"Trillium_ovatum",6,3,3,"8","Temperate"
"Viola_biflora",5,3,1,"8","Temperate"
