SpeciesAuthor, end_month, win_open, win_clos, beta, se_beta, p_c, p_a
Adenocarpus_gibbsianus, 8, 22, 18, 1.11389977522114, 0.220603430060925, 0.956620867593692, 0.78
Anarrhinum_fruticosum, 8, 12, 7, 0.239606459624332, 0.0203383146224617, 0.227320488211677, 0.24
Arenaria_bolosii, 8, 22, 21, 0.0160464549672267, 0.0042870091785, 0.984587146603825, 1
Armeria_merinoi, 8, 21, 17, 0.277885011199229, 0.0914965336403609, 0.41776303215048, 0.316
Astragalus_scaphoides, 8, 23, 15, 1.44018636478938, 0.454488221969717, 0.286860232506791, 0.264
Astragalus_scaphoides_2, 8, 2, 2, -0.19485116757998, 0.0502399074834299, 0.156586671011214, 0.04
Astragalus_tremolsianus, 8, 2, 0, -0.0851808544005065, 0.0260694853855597, 0.962101126084422, 1
Brassica_insularis, 8, 15, 12, -0.105554000343499, 0.0320983778745817, 0.354833179668881, 0.08
Cheirolophus_metlesicsii, 8, 21, 15, 0.273953031819549, 0.0223654924684724, 0.15135442491881, 0.145
Cypripedium_calceolus_2, 8, 23, 6, 0.575033175221036, 0.0884428358052669, 0.0333645167807554, 0.01
Dorycnium_spectabile, 8, 22, 21, -0.536994491348418, 0.220416837910797, 0.634543048803974, 0.811
Echinospartum_algibicum, 8, 1, 0, 0.416520127341443, 0.0187207090651427, 0.208665064869635, 0.029
Erodium_paularense, 8, 24, 17, 0.105091105099496, 0.0474251792173345, 0.595686878444403, 0.627
Euphorbia_fontqueriana, 8, 15, 0, -0.024557882841427, 0.00231355953619963, 0.232861879432575, 0.333
Haplopappus_radiatus, 8, 13, 2, -0.382710914840233, 0.0669508907505739, 0.0189829679536258, <0.001
Helianthemum_juliae, 11, 18, 17, 0.221055320210271, 0.100591265430694, 0.582436082527823, 0.591
Helianthemum_polygonoides, 8, 18, 6, 0.419969885132926, 0.0309367170352533, 0.128788856808823, 0.101
Helianthemum_teneriffae, 8, 23, 18, 1.04701598862733, 0.118748363432807, 0.421572339706952, 0.344
Jurinea_fontqueri, 8, 6, 4, -0.35813729881362, 0.0871682950471057, 0.960352594449967, 0.831
Kosteletzkya_pentacarpos, 8, 24, 23, -0.0915200153575917, 0.0220087904337417, 0.510853854649885, 0.397
Laserpitium_longiradium, 8, 19, 12, 0.267326192448454, 0.0362003290821786, 0.614372801921194, 0.633
Limonium_erectum, 8, 23, 22, -0.334467212204543, 0.0289711295135943, 0.181674649737762, 0.289
Limonium_malacitanum, 8, 2, 1, -0.0699040620407555, 0.0054483742536926, 0.221872825890412, 0.217
Opuntia_rastrera, 8, 15, 15, 0.0187457540345839, 0.0103410659153194, 0.584336833714699, 0.741
Paeonia_officinalis, 6, 16, 12, -0.271936326627208, 0.165828555996653, 0.565225450302661, 0.649
Parolinia_glabriuscula, 8, 5, 3, 0.352044631942997, 0.0701789507438927, 0.861344595970834, 0.902
Pseudomisopates_rivas-martinezii, 8, 19, 17, 0.146176949149137, 0.0785611819159079, 0.595686878444403, 0.692
Purshia_subintegra, 6, 20, 5, 226.845249492772, 310.066519329418, 0.561377881539779, 0.673
Pyrrocoma_radiata, 8, 13, 13, -0.29070579322945, 0.0420648570702673, 0.0137413393218328, <0.001
Ramonda_myconi, 8, 5, 4, -0.0715386775236308, 0.0300102496147406, 0.572896616439597, 0.461
Santolina_melidensis, 8, 4, 0, -0.302741503833161, 0.0222998375038431, 0.264994339456835, 0.181
Vella_pseudocytisus_paui, 8, 23, 22, 0.0926638755290922, 0.022994653366665, 0.309769972596367, 0.122
